price,Clock_Speed_GHz,RAM Size GB,Storage Size GB,battery_capacity,fast_charging_power,Screen_Size,Resolution_Width,Resolution_Height,Refresh_Rate,primary_rear_camera_mp,primary_front_camera_mp,num_front_cameras,NFC_encoded,memory_card_support_encoded,5G_encoded,os_version_major,RAM Tier_encoded,Processor_Brand_bionic,Processor_Brand_dimensity,Processor_Brand_exynos,Processor_Brand_google tensor,Processor_Brand_helio,Processor_Brand_kirin,Processor_Brand_other,Processor_Brand_snapdragon,Processor_Brand_unisoc,Notch_Type_dual punch hole,Notch_Type_large notch,Notch_Type_no notch,Notch_Type_punch hole,Notch_Type_small notch,Notch_Type_unknown,Notch_Type_water drop notch,brand_apple,brand_asus,brand_blackzone,brand_blu,brand_cat,brand_cola,brand_dizo,brand_doogee,brand_duoqin,brand_eunity,brand_gionee,brand_google,brand_honor,brand_huawei,brand_ikall,brand_infinix,brand_iqoo,brand_itel,brand_jio,brand_lava,brand_leeco,brand_lenovo,brand_letv,brand_lg,brand_lyf,brand_micromax,brand_motorola,brand_motorola edge,brand_namotel,brand_nokia,brand_nothing,brand_nubia,brand_oneplus,brand_oppo,brand_oukitel,brand_poco,brand_realme,brand_realme narzo,brand_redmi,brand_royole,brand_samsung,brand_sharp,brand_sony,brand_tcl,brand_tecno,brand_tesla,brand_vertu,brand_vivo,brand_xiaomi,brand_xtouch,brand_zanco,brand_zte
1,1.8856011397069268,2.023504181597625,1.091313356882997,-0.41644436198965923,0.8783211682181936,0.22301582793365954,0.04841402089584845,0.3797699907808404,1.018109709614987,-0.05841641555424726,-0.03402147447785962,0.19059944554297087,1,1,1,0.34905786265111766,1.861654769206908,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.9809438786928381,0.566984359725362,-0.08973664207791215,-0.2942951261149305,-0.9640958517525339,0.039755684673111386,0.04841402089584845,0.3797699907808404,1.018109709614987,-1.1873905098447541,1.5235557333005856,0.19059944554297087,1,1,1,-1.1094152309321048,0.725796440633798,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,-0.1247483292132694,-0.889535462146901,-0.6802616415583667,0.3164510532587128,-0.46161848266960814,0.16192911351347683,0.04841402089584845,0.39399859538557397,1.018109709614987,0.004304367461892006,-0.8128100783670823,0.19059944554297087,0,1,1,0.34905786265111766,-0.41006188793931214,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,-0.6273356964433177,-0.889535462146901,-0.6802616415583667,0.3164510532587128,-0.46161848266960814,0.16192911351347683,0.04841402089584845,0.3797699907808404,-0.046283294407916564,0.004304367461892006,-0.8128100783670823,0.19059944554297087,0,1,0,0.34905786265111766,-0.41006188793931214,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,-0.1247483292132694,0.566984359725362,-0.08973664207791215,0.3164510532587128,0.26418216156128443,0.16192911351347683,0.04841402089584845,0.39399859538557397,-0.046283294407916564,0.004304367461892006,-0.03402147447785962,0.19059944554297087,0,1,0,0.34905786265111766,0.725796440633798,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,1.006073247054341,0.566984359725362,-0.08973664207791215,0.4141704419584958,0.9062365776116895,0.19247247072356752,0.04841402089584845,0.4864845253163423,1.8696241128333098,0.44334984857486687,-0.03402147447785962,0.19059944554297087,1,0,1,0.34905786265111766,0.725796440633798,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,-0.6273356964433177,0.566984359725362,-0.08973664207791215,0.3164510532587128,0.9062365776116895,0.2993742209588876,0.04841402089584845,0.3797699907808404,1.018109709614987,0.44334984857486687,-0.03402147447785962,0.19059944554297087,0,1,1,-0.38017868414049355,0.725796440633798,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,-0.6273356964433177,-0.1612755512107695,-0.08973664207791215,-0.6607428337391166,0.8783211682181936,-0.11296110137734473,0.04841402089584845,0.3797699907808404,-0.046283294407916564,0.004304367461892006,-0.03402147447785962,0.19059944554297087,0,0,1,0.34905786265111766,-0.41006188793931214,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,-0.6273356964433177,-0.1612755512107695,-0.08973664207791215,0.3164510532587128,-0.042887341767170115,-0.11296110137734473,0.04841402089584845,0.3797699907808404,-1.11067629843082,0.004304367461892006,-0.03402147447785962,0.19059944554297087,1,0,1,-0.38017868414049355,-0.41006188793931214,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,-0.1247483292132694,0.566984359725362,-0.08973664207791215,-0.2942951261149305,-0.46161848266960814,-0.14350445858743677,0.04841402089584845,0.27305545624533845,-1.11067629843082,-0.05841641555424726,1.5235557333005856,0.19059944554297087,0,1,0,-1.838651777723716,0.725796440633798,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,-0.6273356964433177,0.566984359725362,-0.08973664207791215,1.5379434120059996,-0.46161848266960814,0.5284494000345732,-1.1061538429498219,-1.0430904696925185,-0.046283294407916564,0.004304367461892006,-0.8128100783670823,0.19059944554297087,0,1,0,0.34905786265111766,0.725796440633798,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,1.8856011397069268,3.480024003469888,3.4534133548048147,1.5379434120059996,0.8504057588246977,0.4673626856143904,0.04841402089584845,0.4651416184092419,2.6146992156493423,0.004304367461892006,-0.03402147447785962,-3.1818438051867375,1,1,1,0.34905786265111766,1.861654769206908,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,-1.6325104309034157,-1.2536654176149669,-0.975524141298594,-0.6240980629766979,-0.9640958517525339,-0.38785131626816766,1.4595525211516676,-2.608236976213213,-1.11067629843082,-1.1560301183366843,-1.1048558048255408,0.19059944554297087,0,1,0,-1.838651777723716,-1.5459202165124222,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.8804264052468281,2.023504181597625,1.091313356882997,0.32011553033495466,-0.12663356994765773,0.3604609353790703,1.2029818847415186,1.6603444052068634,1.018109709614987,0.004304367461892006,-1.4942501067701521,0.19059944554297087,1,1,1,0.34905786265111766,1.861654769206908,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
